oa11cd,x,y
E00042690,419904.216,564863.829
E00042363,424422.57,569453.789
E00042360,423550.077,568991.909
E00042361,424699.657,568676.557
E00042618,415729.268,566971.242
E00042619,415431.335,566725.864
E00042368,423548.2,568626.143
E00042369,423327.342,568534.052
E00042356,422109.025,564832.454
E00042357,422245.018,564786.904
E00042354,422113.743,565115.712
E00042355,422224.527,564984.688
E00042352,421798.217,565118.899
E00042350,421413.984,565036.711
E00042351,421673.266,565090.198
E00042358,420691.721,566421.314
E00042359,420545.565,566498.452
E00042387,424218.031,569712.61
E00042307,422587.698,568093.783
E00042386,424747.613,569515.821
E00042304,422652.001,568235.299
E00042385,424718.165,569813.074
E00042305,422854.54,568143.116
E00042384,423308.75,567767.999
E00042302,422782.126,568286.828
E00042383,423731.091,568004.466
E00042303,422148.599,568176.9
E00042382,424950.364,568118.064
E00042300,422208.616,568395.066
E00042381,424890.713,568231.526
E00042301,422509.014,568454.671
E00042380,423200.9,568040.341
E00042308,422488.03,568245.61
E00042389,424192.644,569076.465
E00042309,422873.681,569688.844
E00042388,424117.681,569316.038
E00042546,418088.211,565458.441
E00042547,427971.049,564545.17
E00042544,419034.815,565401.688
E00042545,418615.987,565517.683
E00042542,418273.362,565547.208
E00042543,418394.53,565839.973
E00042541,418989.971,565553.11
E00042548,427962.124,564318.65
E00042549,428060.407,563961.7
E00042536,418606.501,564766.562
E00042537,418239.443,564751.863
E00042534,418417.762,564809.121
E00042926,419908.225,568064.681
E00042535,418980.57,564689.737
E00042927,420448.895,567897.265
E00042532,419031.181,565020.457
E00042924,420385.805,568257.274
E00042533,418248.305,564941.244
E00042925,420326.643,567807.573
E00042530,418470.828,564916.923
E00042922,419748.008,568021.345
E00042531,418754.576,564785.975
E00042923,419946.365,567591.138
E00042920,420228.304,568208.583
E00042921,419828.208,568188.849
E00042538,419086.489,564496.236
E00042539,419155.295,565691.223
E00042928,419694.45,567712.756
E00042929,419575.707,567849.341
E00042916,420166.451,568396.144
E00042917,419643.239,568353.318
E00042914,419371.565,568464.764
E00042915,419643.096,568476.69
E00042912,420801.337,569466.674
E00042913,420733.033,568922.431
E00042910,419576.89,569792.084
E00042911,417818.378,568973.374
E00175576,424311.811,563865.287
E00042918,419852.264,568318.193
E00175558,424786.735,564161.152
E00042919,420067.117,568272.739
E00175574,425274.728,565044.263
E00175560,426141.733,564241.121
E00175568,423282.436,570202.351
E00175571,424063.211,570636.384
E00175555,425508.908,565148.333
E00175564,424997.567,565351.553
E00175577,422963.831,563682.582
E00175599,419842.104,566212.807
E00175597,421341.07,564029.757
E00175598,422035.464,565399.233
E00175556,425907.055,564444.455
E00042776,428535.458,565269.666
E00042777,428856.196,564852.44
E00042774,429023.627,565831.196
E00042775,429145.193,565505.343
E00042772,428414.694,565891.723
E00042773,428691.49,565934.721
E00042770,429145.849,564877.166
E00042771,428781.422,564666.874
E00175570,423519.744,570351.575
E00175586,420251.902,564315.582
E00175593,425372.224,564265.141
E00042778,429090.045,564762.13
E00175575,424306.226,563653.894
E00042779,428468.496,564623.278
E00175579,425293.27,564068.907
E00175585,424465.698,563936.077
E00175587,424316.522,564051.325
E00175551,425062.845,564006.477
E00042726,424780.975,567328.027
E00042727,424927.786,567300.8
E00042724,423418.606,567542.517
E00175573,423784.99,570714.226
E00042725,424187.954,567494.806
E00175552,424794.698,563563.199
E00042723,423746.52,567397.176
E00042720,423721.146,567634.92
E00042728,424208.961,567280.937
E00042729,424346.737,567203.378
E00042716,425443.863,568071.514
E00042797,428686.275,565190.861
E00042717,424984.797,567866.099
E00042796,429255.261,565058.465
E00042714,423800.395,567766.885
E00042795,428456.427,565473.62
E00042066,422003.582,563775.476
E00042715,425292.891,567716.733
E00042794,428506.751,565622.636
E00042067,420789.463,568459.911
E00042712,424426.833,567662.949
E00042793,429539.465,565167.44
E00042064,422250.47,563855.525
E00042713,424761.2,567746.908
E00042792,428990.769,565694.363
E00042065,421604.778,563753.117
E00042710,424549.088,567463.28
E00042791,429119.887,565689.284
E00042062,422014.223,563903.066
E00042711,423975.85,567915.19
E00042790,429371.982,565678.928
E00042061,421843.471,563936.808
E00042718,425153.555,567684.72
E00042799,428770.108,565125.52
E00042719,423582.084,567649.702
E00042798,429489.81,564919.627
E00042068,421218.398,568565.68
E00042069,421032.09,568368.707
E00042056,421451.752,564167.034
E00042057,421396.422,564356.084
E00042054,420314.039,564734.014
E00042055,420745.092,564848.827
E00042052,420997.828,564546.295
E00042053,421348.595,564674.334
E00042050,421120.4,564888.969
E00042051,420285.009,564967.247
E00042058,421230.953,564387.685
E00042059,421665.658,563992.002
E00042087,421637.455,566194.013
E00042086,421054.327,566414.78
E00042085,420856.556,566587.054
E00042084,420994.723,568624.048
E00042083,420763.456,568620.665
E00042082,421121.617,568735.914
E00042081,420767.346,567320.52
E00042080,420588.678,567561.738
E00042089,421715.379,566278.807
E00042088,421606.499,566466.865
E00042246,420147.695,566696.882
E00042247,419188.458,566543.464
E00042244,419082.991,565947.477
E00042245,419617.102,565822.121
E00042242,419291.672,565978.627
E00042243,419015.254,566099.621
E00042241,419420.977,565979.552
E00042248,417973.059,566353.944
E00042236,418165.887,566344.602
E00042237,419543.209,566085.581
E00042234,418765.639,566054.56
E00042235,418727.948,566161.4
E00042232,418431.895,566161.294
E00042233,419020.151,566239.317
E00042230,420054.285,566356.868
E00042238,419666.719,566152.396
E00042476,425232.952,566850.822
E00042477,425078.023,566772.401
E00042474,425830.785,566766.172
E00042866,418695.067,567702.832
E00042475,424995.281,566804.38
E00042867,418366.854,567687.022
E00042472,425721.381,566919.924
E00042864,418265.024,567861.396
E00042473,425175.281,566986.704
E00042865,418158.122,567946.136
E00042470,425389.413,567036.587
E00042862,417963.229,566903.599
E00042471,425367.123,566684.07
E00042863,420267.198,566832.466
E00042860,418944.392,567005.985
E00042861,419123.427,566918.179
E00042478,422010.614,566656.967
E00042479,422118.824,566411.593
E00042868,417652.481,567640.802
E00042869,418544.285,567518.947
E00042426,427252.213,566046.071
E00042427,427264.359,565937.429
E00042424,427158.156,566151.446
E00042856,417824.894,566862.572
E00042425,427047.801,565959.1
E00042857,420054.429,566975.596
E00042422,426811.302,566288.375
E00042854,418253.629,566899.211
E00042423,426635.908,566142.872
E00042855,417991.35,567113.269
E00042420,427611.478,566313.351
E00042852,417576.71,567069.548
E00042421,427449.328,566242.782
E00042853,419315.306,566912.025
E00042850,419494.038,567258.94
E00042851,420210.254,567123.929
E00042428,427285.852,565821.675
E00042429,427098.128,565789.177
E00042858,418469.438,567028.215
E00042859,418652.893,566955.898
E00042416,427377.668,566521.613
E00042417,427591.614,566491.605
E00042496,423253.418,567352.254
E00042166,423384.173,571875.576
E00042806,423833.295,563881.644
E00042414,426936.82,565603.63
E00042495,422365.869,567200.938
E00042887,421639.7,565765.453
E00042807,423724.101,563608.971
E00042415,427142.287,565513.427
E00042494,422755.714,567302.552
E00042886,421602.935,565947.96
E00042164,423083.469,571978.435
E00042412,426946.568,565781.788
E00042493,422202.039,567394.151
E00042885,421267.905,566062.672
E00042805,423420.98,563727.982
E00042413,427025.732,565686.933
E00042492,422984.522,567336.96
E00042884,421728.16,565962.71
E00042162,420297.679,573361.925
E00042802,428861.26,564978.932
E00042410,427538.782,565901.347
E00042491,421692.687,567483.053
E00042883,421461.34,566038.916
E00042889,422512.684,565691.248
E00042156,423458.883,572807.12
E00042180,428046.599,567360.048
E00042605,424018.823,565401.468
E00042682,426289.225,565883.799
E00042681,426212.432,565871.156
E00042345,421639.701,565262.837
E00042520,419356.368,565276.021
E00042902,422423.613,564864.065
E00042518,419435.402,565581.522
E00175553,424527.072,564144.502
E00042703,419837.018,565352.93
E00042218,426468.891,567051.049
E00042403,427822.07,566471.013
E00042839,418161.853,567250.667
E00042311,422892.326,569552.253
E00042258,419159.79,566366.096
E00042205,426575.757,567575.586
E00042816,423627.083,563382.887
E00042195,426887.559,566987.782
E00042191,426639.786,566688.694
E00042364,423747.287,568649.89
E00042353,420932.788,565155.486
E00042306,422012.154,568169.122
E00042540,419359.057,565654.52
E00042722,423410.092,567656.904
E00042721,425265.185,567451.605
E00042240,419303.348,566150.062
E00042249,418178.569,566470.577
E00042165,423152.143,571846.613
